"lncRNA","Top_GO_BP_Terms","Top_KEGG_Pathways","Inferred_Function","Top_Correlated_Partners","Functional_Diversity_Score","N_GO_BP_Terms","N_KEGG_Pathways","Mean_Correlation","N_Coexpressed_Genes"
"ENSG00000242588","regulation of mRNA splicing, via spliceosome (p=1.83e-04); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (p=2.03e-04); mRNA splicing, via spliceosome (p=2.03e-04)","Coronavirus disease - COVID-19 (p=3.73e-03); Neurotrophin signaling pathway (p=4.14e-03); Growth hormone synthesis, secretion and action (p=4.33e-03)","Immune response regulation","CDC37 (r=0.916), SNRNP70 (r=0.91), LENG8 (r=0.906), PTBP1 (r=0.904), PHRF1 (r=0.898)",1295,1198,97,0.874174181822658,50
"LINC01098","detection of chemical stimulus involved in sensory perception of smell (p=1.98e-06); sensory perception of smell (p=3.35e-06); detection of chemical stimulus involved in sensory perception (p=4.24e-06)","Olfactory transduction (p=3.01e-06); Purine metabolism (p=3.20e-02); Vitamin digestion and absorption (p=5.60e-02)","Metabolic process regulation","CSN1S1 (r=0.892), OR4K13 (r=0.89), DAZL (r=0.89), SLC27A6 (r=0.885), ASB5 (r=0.884)",555,518,37,0.866436617241172,50
"CT62","chloride transmembrane transport (p=1.41e-03); detection of chemical stimulus involved in sensory perception of smell (p=1.50e-03); establishment of planar polarity (p=1.80e-03)","Olfactory transduction (p=1.63e-03); Taurine and hypotaurine metabolism (p=3.35e-02); Neuroactive ligand-receptor interaction (p=3.58e-02)","Immune response regulation","OR6C1 (r=0.907), TRIM64B (r=0.894), NMUR2 (r=0.882), DAZL (r=0.88), IL36A (r=0.879)",537,507,30,0.865630117099268,50
"ENSG00000287277","detection of chemical stimulus involved in sensory perception of smell (p=3.63e-06); sensory perception of smell (p=6.14e-06); detection of chemical stimulus involved in sensory perception (p=7.74e-06)","Olfactory transduction (p=9.58e-06); ABC transporters (p=5.67e-03); Motor proteins (p=1.29e-02)","Immune response regulation","DNAH12 (r=0.888), OR6C3 (r=0.873), OR5B17 (r=0.872), DNAH8 (r=0.871), CLCA4 (r=0.862)",537,506,31,0.845422580723881,50
"FAM138E","detection of chemical stimulus involved in sensory perception of smell (p=2.52e-09); sensory perception of smell (p=5.29e-09); detection of chemical stimulus involved in sensory perception (p=7.36e-09)","Olfactory transduction (p=3.75e-09); cAMP signaling pathway (p=1.86e-02); GABAergic synapse (p=2.10e-02)","Immune response regulation","IL36A (r=0.907), OR6C2 (r=0.89), IL36B (r=0.885), OR4K5 (r=0.884), OR51T1 (r=0.883)",504,460,44,0.867931713467921,50
"LINC01837","detection of chemical stimulus involved in sensory perception of smell (p=1.54e-10); sensory perception of smell (p=3.47e-10); detection of chemical stimulus involved in sensory perception (p=4.99e-10)","Olfactory transduction (p=3.05e-09); Salivary secretion (p=3.11e-03); Vitamin digestion and absorption (p=7.65e-02)","Immune response regulation","SPATA31D3 (r=0.903), RYR3 (r=0.885), FBN2 (r=0.884), CUBN (r=0.875), PKHD1L1 (r=0.874)",504,466,38,0.85337007907479,50
"ENSG00000253207","detection of chemical stimulus involved in sensory perception of smell (p=5.95e-12); sensory perception of smell (p=1.45e-11); detection of chemical stimulus involved in sensory perception (p=2.16e-11)","Olfactory transduction (p=4.25e-12); Salivary secretion (p=2.27e-02); Amoebiasis (p=2.54e-02)","Immune response regulation","OR2M5 (r=0.895), OR5B17 (r=0.893), OR11H1 (r=0.887), SERPINB10 (r=0.883), BANF2 (r=0.881)",499,453,46,0.851701122170089,50
"SILC1","sensory perception of smell (p=1.45e-11); detection of chemical stimulus involved in sensory perception of smell (p=1.13e-10); detection of chemical stimulus involved in sensory perception (p=3.68e-10)","Olfactory transduction (p=5.16e-11); Autoimmune thyroid disease (p=6.82e-03); Vitamin digestion and absorption (p=5.86e-02)","Immune response regulation","CUBN (r=0.876), MS4A5 (r=0.876), SCP2D1 (r=0.87), OR4K2 (r=0.867), C8orf89 (r=0.867)",473,415,58,0.854222146921296,50
"LMO7DN","detection of chemical stimulus involved in sensory perception of smell (p=3.74e-05); sensory perception of smell (p=5.87e-05); detection of chemical stimulus involved in sensory perception (p=7.16e-05)","Olfactory transduction (p=1.66e-05); Steroid biosynthesis (p=3.93e-02); Glycosaminoglycan biosynthesis - heparan sulfate / heparin (p=4.70e-02)","Immune response regulation","OR5A1 (r=0.886), SEMG1 (r=0.885), OR4B1 (r=0.875), TERB1 (r=0.87), CAGE1 (r=0.862)",465,449,16,0.846854244654261,50
"LINC02118","detection of chemical stimulus involved in sensory perception of smell (p=5.86e-08); sensory perception of smell (p=1.14e-07); detection of chemical stimulus involved in sensory perception (p=1.53e-07)","Olfactory transduction (p=1.50e-07); Neuroactive ligand-receptor interaction (p=2.92e-03); Hormone signaling (p=2.13e-02)","Cell signaling pathway","OR4D2 (r=0.896), SERPINB11 (r=0.892), OR6C70 (r=0.892), CCDC168 (r=0.888), TMIGD1 (r=0.887)",464,426,38,0.866977228938136,50
"ENSG00000247193","axonemal dynein complex assembly (p=8.34e-05); cilium movement (p=2.15e-04); detection of chemical stimulus involved in sensory perception of smell (p=2.85e-04)","Olfactory transduction (p=2.52e-04); Amyotrophic lateral sclerosis (p=6.75e-03); Motor proteins (p=7.73e-03)","Immune response regulation","OR1A1 (r=0.894), SERPINB10 (r=0.891), DAZL (r=0.883), CUBN (r=0.876), AXDND1 (r=0.875)",463,432,31,0.859146297737679,50
"ENSG00000234261","detection of chemical stimulus involved in sensory perception of smell (p=1.16e-11); sensory perception of smell (p=2.83e-11); detection of chemical stimulus involved in sensory perception (p=4.19e-11)","Olfactory transduction (p=3.27e-10); Nicotine addiction (p=7.33e-03); Motor proteins (p=2.37e-02)","Cell signaling pathway","RP1 (r=0.881), OR2M5 (r=0.879), CCDC168 (r=0.876), RYR3 (r=0.875), OR5B17 (r=0.872)",455,422,33,0.853680494885685,50
"LINC00919","detection of chemical stimulus involved in sensory perception of smell (p=4.27e-09); sensory perception of smell (p=8.93e-09); detection of chemical stimulus involved in sensory perception (p=1.24e-08)","Olfactory transduction (p=1.16e-09); Basal transcription factors (p=4.57e-03); Insulin resistance (p=2.60e-02)","Immune response regulation","TRIM64C (r=0.905), CLCA4 (r=0.9), SEMG2 (r=0.895), SLC27A6 (r=0.886), CSN1S1 (r=0.885)",454,431,23,0.864947623143727,50
"LINC02240","detection of chemical stimulus involved in sensory perception of smell (p=2.18e-11); sensory perception of smell (p=5.30e-11); detection of chemical stimulus involved in sensory perception (p=7.85e-11)","Olfactory transduction (p=6.25e-11); Salivary secretion (p=3.07e-02); Glycosphingolipid biosynthesis - globo and isoglobo series (p=4.46e-02)","Immune response regulation","OR6C70 (r=0.88), OR5B17 (r=0.876), RPGRIP1 (r=0.872), SPATA22 (r=0.871), FBN2 (r=0.871)",447,422,25,0.84603654287778,50
"LINC01445","detection of chemical stimulus involved in sensory perception of smell (p=1.13e-10); sensory perception of smell (p=2.56e-10); detection of chemical stimulus involved in sensory perception (p=3.68e-10)","Olfactory transduction (p=3.64e-10); Salivary secretion (p=1.10e-04); Vitamin digestion and absorption (p=6.63e-02)","Immune response regulation","ENSG00000285635 (r=0.9), SPATA31D3 (r=0.9), OR5B17 (r=0.894), DNAH12 (r=0.888), OR5AR1 (r=0.886)",429,404,25,0.865056477784537,50
"FHL1P1","detection of chemical stimulus involved in sensory perception of smell (p=6.35e-06); sensory perception of smell (p=1.07e-05); detection of chemical stimulus involved in sensory perception (p=1.34e-05)","Olfactory transduction (p=7.35e-07); Fatty acid biosynthesis (p=3.36e-02); Vitamin digestion and absorption (p=4.82e-02)","Immune response regulation","CUBN (r=0.895), DNAH8 (r=0.888), CSN2 (r=0.884), HHLA1 (r=0.882), DDX4 (r=0.882)",423,408,15,0.869022927069443,50
"ENSG00000287019","detection of chemical stimulus involved in sensory perception of smell (p=9.99e-17); sensory perception of smell (p=3.27e-16); detection of chemical stimulus involved in sensory perception (p=5.54e-16)","Olfactory transduction (p=8.10e-16); Salivary secretion (p=3.51e-02); Cytokine-cytokine receptor interaction (p=6.13e-02)","Immune response regulation","LGALS14 (r=0.881), OTOR (r=0.88), CST5 (r=0.878), WFDC11 (r=0.878), TAC1 (r=0.874)",423,384,39,0.851870972007581,50
"LINC02929","detection of chemical stimulus involved in sensory perception of smell (p=2.43e-07); sensory perception of smell (p=4.43e-07); detection of chemical stimulus involved in sensory perception (p=5.77e-07)","Olfactory transduction (p=2.12e-07); Nicotine addiction (p=3.63e-03); Amoebiasis (p=2.14e-02)","Immune response regulation","PPIAL4A (r=0.874), ZPBP (r=0.87), CD1A (r=0.867), PPP1R42 (r=0.864), ANKRD66 (r=0.863)",423,395,28,0.846591885200235,50
"ENSG00000290429","germ cell development (p=1.40e-06); cellular process involved in reproduction in multicellular organism (p=2.79e-06); spermatid development (p=8.72e-06)","Olfactory transduction (p=3.39e-04); Pathways of neurodegeneration - multiple diseases (p=1.98e-02); Growth hormone synthesis, secretion and action (p=2.93e-02)","Immune response regulation","PSMA8 (r=0.888), ADAD1 (r=0.877), SYCP1 (r=0.861), DNAH3 (r=0.861), DNAH8 (r=0.86)",416,364,52,0.845401706665227,50
"LINC01548","sensory perception of smell (p=2.92e-03); maintenance of protein location (p=8.94e-03); detection of chemical stimulus involved in sensory perception of smell (p=1.32e-02)","Olfactory transduction (p=4.47e-04); Salivary secretion (p=2.09e-02); Taurine and hypotaurine metabolism (p=3.87e-02)","Immune response regulation","FBN2 (r=0.869), GPR12 (r=0.868), ZNF804B (r=0.868), MUC5AC (r=0.865), OPN5 (r=0.861)",413,381,32,0.847496831215145,50
"CLLU1","detection of chemical stimulus involved in sensory perception of smell (p=4.08e-13); sensory perception of smell (p=1.07e-12); detection of chemical stimulus involved in sensory perception (p=1.64e-12)","Olfactory transduction (p=3.38e-13); Autoimmune thyroid disease (p=8.08e-03); Phototransduction (p=7.09e-02)","Immune response regulation","OR9K2 (r=0.883), TMEM225 (r=0.881), EDDM3A (r=0.873), CSN1S1 (r=0.866), OR6C76 (r=0.862)",411,371,40,0.848898721296826,50
"LINC03106","detection of chemical stimulus involved in sensory perception of smell (p=9.99e-17); sensory perception of smell (p=3.27e-16); detection of chemical stimulus involved in sensory perception (p=5.54e-16)","Olfactory transduction (p=5.58e-17); Autoimmune thyroid disease (p=9.45e-03); Cytokine-cytokine receptor interaction (p=4.67e-02)","Immune response regulation","OR4A15 (r=0.901), DNAJC5G (r=0.885), OR14A16 (r=0.882), BSPH1 (r=0.881), OR2W3 (r=0.881)",409,371,38,0.857944624427218,50
"MIR9-2HG","detection of chemical stimulus involved in sensory perception of smell (p=3.05e-07); sensory perception of smell (p=5.55e-07); detection of chemical stimulus involved in sensory perception (p=7.23e-07)","Olfactory transduction (p=8.29e-07); Neuroactive ligand-receptor interaction (p=2.01e-03); Nicotine addiction (p=4.73e-03)","Immune response regulation","OR51G1 (r=0.885), CNGB3 (r=0.882), LRIT1 (r=0.881), SERPINB11 (r=0.881), OR7C1 (r=0.881)",401,374,27,0.866342751940824,50
"LINC02868","detection of chemical stimulus involved in sensory perception of smell (p=4.08e-13); sensory perception of smell (p=1.07e-12); detection of chemical stimulus involved in sensory perception (p=1.64e-12)","Olfactory transduction (p=6.02e-14); Parkinson disease (p=1.29e-01); Prion disease (p=1.35e-01)","Immune response regulation","CRYGA (r=0.915), SCP2D1 (r=0.904), OR4K2 (r=0.897), MS4A5 (r=0.886), ZSWIM2 (r=0.879)",385,354,31,0.853031094390851,50
"LINC02871","sensory perception of smell (p=4.67e-10); detection of chemical stimulus involved in sensory perception of smell (p=3.29e-09); detection of chemical stimulus involved in sensory perception (p=9.58e-09)","Olfactory transduction (p=6.22e-11); Vitamin digestion and absorption (p=4.82e-02); Asthma (p=5.90e-02)","Immune response regulation","DEFB128 (r=0.91), OR4C16 (r=0.908), SERPINB11 (r=0.905), CCDC169 (r=0.902), OR5B12 (r=0.895)",383,364,19,0.877798488623745,50
"LINC02909","detection of chemical stimulus involved in sensory perception of smell (p=1.10e-15); sensory perception of smell (p=3.34e-15); detection of chemical stimulus involved in sensory perception (p=5.48e-15)","Olfactory transduction (p=4.61e-15); Phototransduction (p=7.94e-02); Nicotine addiction (p=1.10e-01)","Cell signaling pathway","OR4C12 (r=0.908), ZSWIM2 (r=0.907), BTG4 (r=0.898), OR6C70 (r=0.896), LGALS13 (r=0.892)",383,360,23,0.875057692575483,50
"LINC02213","detection of chemical stimulus involved in sensory perception of smell (p=1.19e-14); sensory perception of smell (p=3.38e-14); detection of chemical stimulus involved in sensory perception (p=5.37e-14)","Olfactory transduction (p=1.27e-13); Neuroactive ligand-receptor interaction (p=3.47e-03); Hormone signaling (p=2.35e-02)","Immune response regulation","KRTAP25-1 (r=0.884), MS4A5 (r=0.869), IL17A (r=0.865), AMTN (r=0.863), OR4B1 (r=0.861)",380,357,23,0.847686557738137,50
"LINC03122","detection of chemical stimulus involved in sensory perception of smell (p=2.93e-12); sensory perception of smell (p=7.17e-12); detection of chemical stimulus involved in sensory perception (p=1.07e-11)","Olfactory transduction (p=1.93e-12); Renin-angiotensin system (p=5.20e-02); Cornified envelope formation (p=8.91e-02)","Immune response regulation","BSPH1 (r=0.9), OR10Z1 (r=0.886), LGALS14 (r=0.88), TMEM225 (r=0.878), OR6K2 (r=0.877)",376,358,18,0.85906678400509,50
"LINC03043","detection of chemical stimulus involved in sensory perception of smell (p=7.56e-06); sensory perception of smell (p=1.27e-05); detection of chemical stimulus involved in sensory perception (p=1.60e-05)","Olfactory transduction (p=6.66e-06); Nicotine addiction (p=4.34e-03); GABAergic synapse (p=1.93e-02)","Immune response regulation","OR6C70 (r=0.906), FBN2 (r=0.899), SERPINB11 (r=0.897), TMIGD1 (r=0.897), OR4Q3 (r=0.892)",365,316,49,0.87248828423596,50
"LINC00615","detection of chemical stimulus involved in sensory perception of smell (p=1.44e-09); sensory perception of smell (p=3.04e-09); detection of chemical stimulus involved in sensory perception (p=4.23e-09)","Olfactory transduction (p=3.75e-09); Vitamin digestion and absorption (p=6.38e-02); Phototransduction (p=7.09e-02)","Immune response regulation","SERPINB11 (r=0.9), SPINK8 (r=0.899), OR4Q3 (r=0.896), ANKRD34C (r=0.892), OR4K13 (r=0.891)",364,327,37,0.874183771432246,50
"LINC00922","detection of chemical stimulus involved in sensory perception of smell (p=1.58e-17); sensory perception of smell (p=5.22e-17); detection of chemical stimulus involved in sensory perception (p=8.86e-17)","Olfactory transduction (p=5.58e-17); Neuroactive ligand-receptor interaction (p=7.87e-02); Nicotine addiction (p=1.07e-01)","Cell signaling pathway","GSTA5 (r=0.883), OR5H15 (r=0.881), OR6C65 (r=0.881), MS4A3 (r=0.879), EFCAB3 (r=0.878)",348,320,28,0.864134916946107,50
"ENSG00000225057","detection of chemical stimulus involved in sensory perception of smell (p=4.72e-07); sensory perception of smell (p=8.55e-07); detection of chemical stimulus involved in sensory perception (p=1.11e-06)","Olfactory transduction (p=1.82e-06); Phototransduction (p=2.80e-03); Cornified envelope formation (p=2.08e-02)","Immune response regulation","KLK2 (r=0.882), CLCA2 (r=0.881), OR11L1 (r=0.88), PCARE (r=0.877), LIM2 (r=0.873)",337,306,31,0.849431588911608,50
"LINC02903","detection of chemical stimulus involved in sensory perception of smell (p=3.81e-07); sensory perception of smell (p=6.91e-07); detection of chemical stimulus involved in sensory perception (p=9.00e-07)","Olfactory transduction (p=7.26e-08); Vitamin digestion and absorption (p=5.08e-02); Asthma (p=6.22e-02)","Immune response regulation","IL9 (r=0.898), ANKUB1 (r=0.886), RPGRIP1 (r=0.884), SPATA31D3 (r=0.884), IMPG2 (r=0.878)",336,318,18,0.853606748609645,50
"LINC01555","detection of chemical stimulus involved in sensory perception of smell (p=1.60e-11); sensory perception of smell (p=3.89e-11); detection of chemical stimulus involved in sensory perception (p=5.76e-11)","Olfactory transduction (p=1.93e-12); Cytokine-cytokine receptor interaction (p=3.03e-02); JAK-STAT signaling pathway (p=5.70e-02)","Immune response regulation","OR5B17 (r=0.885), MOBP (r=0.884), PRPS1L1 (r=0.88), FGF16 (r=0.878), OR5K1 (r=0.878)",330,299,31,0.854208144223598,50
"ENSG00000293012","detection of chemical stimulus involved in sensory perception of smell (p=7.12e-16); sensory perception of smell (p=2.17e-15); detection of chemical stimulus involved in sensory perception (p=3.57e-15)","Olfactory transduction (p=1.96e-15); Amoebiasis (p=3.20e-02); Fatty acid biosynthesis (p=4.82e-02)","Cell signaling pathway","WFDC11 (r=0.898), AXDND1 (r=0.891), CABS1 (r=0.888), DNAH12 (r=0.884), SERPINB10 (r=0.884)",305,285,20,0.869782550952513,50
"LINC02272","detection of chemical stimulus involved in sensory perception of smell (p=1.16e-11); sensory perception of smell (p=2.83e-11); detection of chemical stimulus involved in sensory perception (p=4.19e-11)","Olfactory transduction (p=8.25e-13); Vitamin digestion and absorption (p=5.60e-02); Phototransduction (p=6.23e-02)","Immune response regulation","ASIC5 (r=0.888), FBN2 (r=0.881), CCDC168 (r=0.879), SEMG2 (r=0.878), DEFB113 (r=0.876)",302,290,12,0.85903998331023,50
"ENSG00000236858","detection of chemical stimulus involved in sensory perception of smell (p=3.24e-15); sensory perception of smell (p=9.22e-15); detection of chemical stimulus involved in sensory perception (p=1.47e-14)","Olfactory transduction (p=2.61e-14); Taurine and hypotaurine metabolism (p=4.39e-02); Pantothenate and CoA biosynthesis (p=5.39e-02)","Immune response regulation","CALHM4 (r=0.894), CAPSL (r=0.888), LEUTX (r=0.885), OR4X2 (r=0.875), OR5AC2 (r=0.874)",300,275,25,0.856239365186424,50
